X  / Y / Lnght / Heigh
17  , 0 , 45 , 80
84 , 0 , 47 , 80
150 , 0 , 52 , 80
226 , 0 , 58 , 80
346 , 0  , 55 , 80   Ataque 1
444 , 0  , 55 , 80
532 , 0  , 35 , 80



0 , 81 , 61 , 80
74 , 81 , 59 , 80
150 , 81 , 54 , 80
214 , 81 , 115 , 80    Ataque 2
349 , 81 , 79 , 80
441 , 81 , 83 , 80
532 , 81 , 82 , 80


 

0 , 167 , 47 , 80
94 , 167 , 47 , 80
160 , 167 , 48 , 80
220 , 167 , 52 , 80   Ser golpeado




26 , 256 , 47 , 80
94 , 256 , 47 , 80
165 , 256 , 47 , 80
227 , 256 , 47 , 80
344 , 256 , 47 , 80
442 , 256 , 47 , 80         Idle
530 , 256 , 47 , 80
614 , 256 , 47 , 80
694 , 256 , 47 , 80
774 , 256 , 47 , 80
854 , 256 , 47 , 80



26 , 354 , 47 , 80
94 , 354 , 47 , 80
166 , 354 , 46 , 80
229 , 354 , 51 , 80
346 , 354 , 73 , 80
444 , 354 , 74 , 80
532 , 354 , 76 , 80       Morision
615 , 354 , 79 , 80
699 , 354 , 75 , 80
784 , 354 , 70 , 80
874 , 354 , 70 , 80 
